Scaffold	Treatment	Depth	Plot	Time	Duplicate
15_R_Glu_20_2_0_1	Glu	20	2	0	1
15_R_Glu_20_2_0_2	Glu	20	2	0	2
15_R_Glu_20_2_12_1	Glu	20	2	12	1
15_R_Glu_20_2_12_2	Glu	20	2	12	2
15_R_Glu_20_2_24_1	Glu	20	2	24	1
15_R_Glu_20_2_24_2	Glu	20	2	24	2
15_R_Glu_20_2_4_1	Glu	20	2	4	1
15_R_Glu_20_2_4_2	Glu	20	2	4	2
15_R_Glu_20_2_8_1	Glu	20	2	8	1
15_R_Glu_20_2_8_2	Glu	20	2	8	2
15_R_Glu_20_5_0_1	Glu	20	5	0	1
15_R_Glu_20_5_0_2	Glu	20	5	0	2
15_R_Glu_20_5_12_1	Glu	20	5	12	1
15_R_Glu_20_5_12_2	Glu	20	5	12	2
15_R_Glu_20_5_24_1	Glu	20	5	24	1
15_R_Glu_20_5_24_2	Glu	20	5	24	2
15_R_Glu_20_5_4_1	Glu	20	5	4	1
15_R_Glu_20_5_4_2	Glu	20	5	4	2
15_R_Glu_20_5_8_1	Glu	20	5	8	1
15_R_Glu_20_5_8_2	Glu	20	5	8	2
15_R_Glu_40_2_0_1	Glu	40	2	0	1
15_R_Glu_40_2_0_2	Glu	40	2	0	2
15_R_Glu_40_2_12_1	Glu	40	2	12	1
15_R_Glu_40_2_12_2	Glu	40	2	12	2
15_R_Glu_40_2_24_1	Glu	40	2	24	1
15_R_Glu_40_2_24_2	Glu	40	2	24	2
15_R_Glu_40_2_4_1	Glu	40	2	4	1
15_R_Glu_40_2_4_2	Glu	40	2	4	2
15_R_Glu_40_2_8_1	Glu	40	2	8	1
15_R_Glu_40_2_8_2	Glu	40	2	8	2
15_R_Glu_40_5_0_1	Glu	40	5	0	1
15_R_Glu_40_5_0_2	Glu	40	5	0	2
15_R_Glu_40_5_12_1	Glu	40	5	12	1
15_R_Glu_40_5_12_2	Glu	40	5	12	2
15_R_Glu_40_5_24_1	Glu	40	5	24	1
15_R_Glu_40_5_24_2	Glu	40	5	24	2
15_R_Glu_40_5_4_1	Glu	40	5	4	1
15_R_Glu_40_5_4_2	Glu	40	5	4	2
15_R_Glu_40_5_8_1	Glu	40	5	8	1
15_R_Glu_40_5_8_2	Glu	40	5	8	2
15_R_Met_20_2_0_1	Met	20	2	0	1
15_R_Met_20_2_0_2	Met	20	2	0	2
15_R_Met_20_2_12_1	Met	20	2	12	1
15_R_Met_20_2_12_2	Met	20	2	12	2
15_R_Met_20_2_24_1	Met	20	2	24	1
15_R_Met_20_2_24_2	Met	20	2	24	2
15_R_Met_20_2_4_1	Met	20	2	4	1
15_R_Met_20_2_4_2	Met	20	2	4	2
15_R_Met_20_2_8_1	Met	20	2	8	1
15_R_Met_20_2_8_2	Met	20	2	8	2
15_R_Met_20_5_0_1	Met	20	5	0	1
15_R_Met_20_5_0_2	Met	20	5	0	2
15_R_Met_20_5_12_1	Met	20	5	12	1
15_R_Met_20_5_12_2	Met	20	5	12	2
15_R_Met_20_5_24_1	Met	20	5	24	1
15_R_Met_20_5_24_2	Met	20	5	24	2
15_R_Met_20_5_4_1	Met	20	5	4	1
15_R_Met_20_5_4_2	Met	20	5	4	2
15_R_Met_20_5_8_1	Met	20	5	8	1
15_R_Met_20_5_8_2	Met	20	5	8	2
15_R_Met_40_2_0_1	Met	40	2	0	1
15_R_Met_40_2_0_2	Met	40	2	0	2
15_R_Met_40_2_12_1	Met	40	2	12	1
15_R_Met_40_2_12_2	Met	40	2	12	2
15_R_Met_40_2_24_1	Met	40	2	24	1
15_R_Met_40_2_24_2	Met	40	2	24	2
15_R_Met_40_2_4_1	Met	40	2	4	1
15_R_Met_40_2_4_2	Met	40	2	4	2
