bin	phylum
14_0903_02_20cm_Actinobacteria_63_68_5	Actinobacteria
14_0903_12_20cm_Actinobacteria_894_72_7	Actinobacteria
14_0903_13_30cm_Actinobacteria_4882_65_7	Actinobacteria
14_0919_05_20cm_Actinobacteria_1528_70_7	Actinobacteria
14_1009_16_30cm_Actinobacteria_9660_70_8	Actinobacteria
14_1009_16_30cm_Actinobacteria_9742_71_9	Actinobacteria
14_0903_09_20cm_Acidobacteria_629_56_6	Acidobacteria
14_0903_09_20cm_Acidobacteria_635_55_5	Acidobacteria
14_0903_09_20cm_Bacteria_627_57_7	Acidobacteria
14_0903_12_20cm_Acidobacteria_891_55_5	Acidobacteria
14_0903_12_30cm_Acidobacteria_1079_57_7	Acidobacteria
14_0903_12_30cm_Acidobacteria_1081_55_6	Acidobacteria
14_0903_12_30cm_Bacteria_1044_57_11	Acidobacteria
14_0903_12_40cm_Bacteria_10609_55_11	Acidobacteria
14_0903_13_20cm_Acidobacteria_1218_57_5	Acidobacteria
14_0903_13_20cm_Acidobacteriales_1219_55_6	Acidobacteria
14_0903_13_30cm_Acidobacteria_4806_58_15	Acidobacteria
14_0903_13_30cm_Acidobacteria_4858_56_6	Acidobacteria
14_0903_13_30cm_Acidobacteria_4908_55_5	Acidobacteria
14_0903_13_30cm_Acidobacteria_4990_57_9	Acidobacteria
14_0903_13_30cm_Bacteria_4817_57_14	Acidobacteria
14_0903_13_30cm_Bacteria_4853_55_13	Acidobacteria
14_0903_13_40cm_Bacteria_1416_54_6	Acidobacteria
14_0903_16_20cm_Acidobacteriales_5411_55_10	Acidobacteria
14_0919_12_20cm_Acidobacteria_1789_58_8	Acidobacteria
14_0927_09_20cm_Candidatus_Koribacter_versatilis_6076_59_10	Acidobacteria
14_0929_05_20cm_Acidobacteria_2978_54_10	Acidobacteria
14_0929_05_20cm_Acidobacteria_2994_55_6	Acidobacteria
14_0929_09_20cm_Acidobacteria_6741_56_8	Acidobacteria
14_0929_09_20cm_Acidobacteriales_6726_56_6	Acidobacteria
14_0929_09_30cm_Acidobacteria_6831_56_8	Acidobacteria
14_1009_02_20cm_Acidobacteria_3609_55_5	Acidobacteria
14_1009_05_20cm_Acidobacteria_3994_54_6	Acidobacteria
14_1009_12_20cm_Acidobacteria_8358_56_5	Acidobacteria
14_1009_12_20cm_Acidobacteria_8364_56_6	Acidobacteria
14_1009_12_30cm_Acidobacteria_8525_55_6	Acidobacteria
14_1009_13_20cm_Acidobacteria_8926_56_6	Acidobacteria
14_1009_16_20cm_Acidobacteria_9472_55_5	Acidobacteria
14_1009_16_30cm_Acidobacteria_9671_56_15	Acidobacteria
14_1009_16_30cm_Acidobacteria_9782_56_12	Acidobacteria
14_1009_16_40cm_Acidobacteria_10092_55_8	Acidobacteria
14_1009_16_40cm_Bacteria_10110_55_10	Acidobacteria
14_1009_16_30cm_Actinobacteria_9682_72_9	Actinomycetales
14_1009_16_40cm_Bacteria_10191_62_6	Chloroflexi
14_0903_05_40cm_Actinobacteria_485_68_8	Actinobacteria
14_0929_02_40cm_Actinobacteria_2835_69_10	Actinobacteria
14_0929_02_40cm_Actinobacteria_2842_69_8	Actinobacteria
14_1009_02_40cm_Actinobacteria_3830_69_7	Actinobacteria
14_1009_05_20cm_Bacteria_4033_66_6	Actinobacteria
14_1009_05_40cm_Actinobacteria_10539_68_8	Actinobacteria
14_1009_05_40cm_RBG_19FT_COMBO_Actinobacteria_70_19_curated_4381_69_10	Actinobacteria
14_1009_09_20cm_Actinobacteria_7726_69_6	Actinobacteria
14_1009_13_30cm_Actinobacteria_9104_69_9	Actinobacteria
14_1009_16_30cm_Actinobacteria_9696_69_13	Actinobacteria
14_1009_16_30cm_Actinobacteria_9722_67_9	Actinobacteria
14_1009_16_40cm_Actinobacteria_10064_69_6	Actinobacteria
14_1009_16_40cm_Actinobacteria_10075_69_11	Actinobacteria
14_1009_16_40cm_Bacteria_10192_68_11	Actinobacteria
14_0929_05_20cm_Actinobacteria_3012_66_5	Actinobacteria
14_1009_09_20cm_Actinobacteria_7720_66_6	Actinobacteria
14_1009_16_30cm_Bacteria_9694_66_6	Actinobacteria
14_1009_16_40cm_Bacteria_10405_68_5	Actinobacteria
14_0927_12_20cm_Bacteria_6393_69_7	Actinobacteria
14_0903_12_20cm_Bacteria_889_69_22	Armatimonadetes
14_0903_13_30cm_Bacteria_4927_68_6	Armatimonadetes
14_0929_12_20cm_Bacteria_7191_69_6	Armatimonadetes
14_1009_09_30cm_Bacteria_7987_68_6	Armatimonadetes
14_0927_05_40cm_Armatimonadetes_2321_65_11	Armatimonadetes
14_1009_12_40cm_Armatimonadetes_8702_65_16	Armatimonadetes
14_1009_12_40cm_Bacteria_8692_64_7	Armatimonadetes
14_1009_16_40cm_Armatimonadetes_10062_65_9	Armatimonadetes
14_0903_02_30cm_Bacteria_174_66_7	ANG-CHLX
14_0903_02_30cm_Bacteria_227_65_6	ANG-CHLX
14_0903_05_20cm_Micromonosporales_397_71_6	Actinomycetales
14_0903_05_30cm_Bacteria_4569_68_6	ANG-CHLX
14_0903_05_40cm_Bacteria_469_66_9	ANG-CHLX
14_0903_12_20cm_Bacteria_885_69_7	ANG-CHLX
14_0903_12_20cm_Bacteria_926_65_5	ANG-CHLX
14_0903_12_30cm_Bacteria_1108_73_5	ANG-CHLX
14_0903_12_40cm_Bacteria_4661_66_7	ANG-CHLX
14_0903_13_30cm_Bacteria_4866_66_9	ANG-CHLX
14_0903_16_30cm_Bacteria_5521_66_8	ANG-CHLX
14_0919_02_20cm_Bacteria_5913_67_7	ANG-CHLX
14_0927_05_20cm_Bacteria_2171_66_7	ANG-CHLX
14_0927_05_20cm_Bacteria_2183_67_7	ANG-CHLX
14_0927_05_40cm_Bacteria_2305_68_11	ANG-CHLX
14_0927_05_40cm_Bacteria_2367_66_6	ANG-CHLX
14_0927_09_20cm_Bacteria_6025_66_9	ANG-CHLX
14_0927_09_20cm_Bacteria_6029_68_7	ANG-CHLX
14_0927_09_20cm_Bacteria_6032_66_9	ANG-CHLX
14_0927_09_20cm_Bacteria_6038_66_8	ANG-CHLX
14_0927_12_20cm_Bacteria_6328_66_16	ANG-CHLX
14_0927_12_20cm_Bacteria_6329_70_21	ANG-CHLX
