Protein	Name	Phylum	Type
14_0903_02_20cm_scaffold_11527_1	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_2	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_3	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_4	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_5	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_6	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_7	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_8	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_9	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_10	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_11	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_12	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_13	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_14	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_15	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_16	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_17	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_18	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_19	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_11527_20	Actinobacteria_Bacteriocin_0	Actinobacteria	Bacteriocin
14_0903_02_20cm_scaffold_9913_1	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_20cm_scaffold_9913_2	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_20cm_scaffold_9913_3	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_20cm_scaffold_9913_4	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_20cm_scaffold_9913_5	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_20cm_scaffold_9913_6	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_20cm_scaffold_9913_7	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_20cm_scaffold_9913_8	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_20cm_scaffold_382_1	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
