Protein	Genome
14_0903_05_20cm_scaffold_284_19	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_12_40cm_200_scaffold_267_10	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_12_40cm_200_scaffold_2_2	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_16_30cm_scaffold_3242_11	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_05_20cm_scaffold_562_3	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_13_20cm_scaffold_1865_24	14_0903_13_20cm_Proteobacteria_1234_70_6
14_1009_16_30cm_scaffold_3242_1	14_1009_16_30cm_Actinobacteria_9682_72_9
14_1009_16_40cm_scaffold_24305_3	14_1009_16_40cm_Bacteria_10151_57_6
14_0903_05_20cm_scaffold_1294_4	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_1294_7	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_40cm_scaffold_12564_1	14_1009_16_40cm_Bacteria_10151_57_6
14_1009_16_30cm_scaffold_359_106	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_05_20cm_scaffold_562_4	14_0903_05_20cm_Chloroflexi_387_50_7
14_0929_09_20cm_scaffold_8_138	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_426_4	14_0903_09_20cm_Bacteria_634_55_9
14_0903_05_20cm_scaffold_334_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_13_30cm_scaffold_764725_64	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_09_30cm_scaffold_2039_3	14_0903_09_30cm_Bacteria_688_55_7
14_0903_05_20cm_scaffold_334_3	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_490_34	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_12_20cm_scaffold_5271_4	14_0903_12_20cm_Bacteria_10610_64_6
14_0903_13_30cm_scaffold_1058063_6	14_0903_13_30cm_Proteobacteria_5023_70_7
14_1009_16_40cm_scaffold_554_30	14_1009_16_40cm_Bacteria_10153_70_20
14_1009_16_40cm_scaffold_554_31	14_1009_16_40cm_Bacteria_10153_70_20
14_0903_13_20cm_scaffold_2412_3	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0919_09_20cm_scaffold_234_11	14_0919_09_20cm_Bacteria_1670_60_14
14_0903_05_20cm_scaffold_1294_15	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_13_20cm_scaffold_1865_23	14_0903_13_20cm_Proteobacteria_1234_70_6
14_1009_16_30cm_scaffold_4911_7	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_13_20cm_scaffold_2412_2	14_0903_13_20cm_Proteobacteria_1234_70_6
14_1009_16_40cm_scaffold_554_28	14_1009_16_40cm_Bacteria_10153_70_20
14_0903_13_30cm_scaffold_2321172_2	14_0903_13_30cm_Bacteria_4966_70_7
14_0903_13_30cm_scaffold_1444369_15	14_0903_13_30cm_Proteobacteria_5023_70_7
14_1009_16_30cm_scaffold_4911_9	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_12_20cm_scaffold_1409_4	14_0903_12_20cm_Ktedonobacter_racemifer_1020_54_11
14_1009_16_40cm_scaffold_91806_3	14_1009_16_40cm_Bacteria_10195_66_6
14_0927_12_20cm_scaffold_115_54	14_0927_12_20cm_Bacteria_6339_54_8
14_1009_12_40cm_scaffold_5381_2	14_1009_12_40cm_Bacteria_8693_55_9
14_0927_09_20cm_scaffold_3080_23	14_0927_09_20cm_Bacteria_6036_55_7
14_1009_09_20cm_scaffold_127_16	14_1009_09_20cm_Bacteria_7728_55_9
14_1009_05_40cm_scaffold_8250_8	14_1009_05_40cm_Bacteria_4386_70_5
14_1009_16_40cm_scaffold_26754_1	14_1009_16_40cm_Bacteria_10195_66_6
14_1009_16_40cm_scaffold_554_29	14_1009_16_40cm_Bacteria_10153_70_20
14_0919_02_20cm_scaffold_431_9	14_0919_02_20cm_Bacteria_5930_55_12
14_0903_05_20cm_scaffold_757_14	14_0903_05_20cm_Chloroflexi_387_50_7
14_0929_02_30cm_scaffold_14273_3	14_0929_02_30cm_Proteobacteria_2624_68_6
14_0929_09_40cm_scaffold_1319_8	14_0929_09_40cm_Bacteria_7027_56_14
14_0927_09_40cm_scaffold_921_34	14_0927_09_40cm_Verrucomicrobia_6186_55_17
14_0903_05_20cm_scaffold_2523_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_40cm_scaffold_26754_2	14_1009_16_40cm_Bacteria_10195_66_6
14_1009_16_40cm_scaffold_40157_1	14_1009_16_40cm_Bacteria_10157_53_6
14_0929_12_30cm_scaffold_7303_1	14_0929_12_30cm_Bacteria_7476_55_10
14_0903_12_20cm_scaffold_2730_2	14_0903_12_20cm_Bacteria_924_55_9
14_1009_12_20cm_scaffold_5883_4	14_1009_12_20cm_Bacteria_8391_55_8
14_0927_09_20cm_scaffold_3254_3	14_0927_09_20cm_Bacteria_6103_55_7
14_0903_05_20cm_scaffold_4023_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_02_30cm_scaffold_40_37	14_0903_02_30cm_Bacteria_162_64_22
14_0903_05_20cm_scaffold_52255_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_3728_5	14_0903_05_20cm_Micromonosporales_397_71_6
14_0903_13_20cm_scaffold_3761_2	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0929_09_20cm_scaffold_31_28	14_0929_09_20cm_Bacteria_6715_55_10
